frame_idx,trial_idx,min_v_loss,top_avg_reward,epsilon,l1S
24,0,inf,-457.76289840698877,0.9996400620931697,inf
25,1,inf,-205.82535629481825,0.9996250674922383,inf
27,2,inf,-135.88896980271875,0.9995950789651292,inf
51,3,inf,-135.88896980271875,0.999235286804729,inf
52,4,inf,-135.88896980271875,0.9992202982754269,inf
53,5,inf,-135.88896980271875,0.9992053099709528,inf
54,6,inf,-135.88896980271875,0.9991903218913033,inf
55,7,inf,-135.88896980271875,0.999175334036475,inf
79,8,inf,-135.88896980271875,0.9988156929581857,inf
80,9,inf,-135.88896980271875,0.9988007107227914,inf
104,10,inf,-135.88896980271875,0.9984412044856332,inf
105,11,inf,-135.88896980271875,0.998426227867566,inf
107,12,inf,-135.88896980271875,0.9983962753053759,inf
131,13,inf,-135.88896980271875,0.9980369146398556,inf
132,14,inf,-135.88896980271875,0.998021944086136,inf
133,15,inf,-135.88896980271875,0.9980069737569747,inf
157,16,inf,-135.88896980271875,0.9976477532158389,inf
158,17,inf,-135.88896980271875,0.9976327884995406,inf
161,18,inf,-135.88896980271875,0.9975878956974569,inf
185,19,inf,-135.88896980271875,0.9972288259984005,inf
186,20,inf,-135.88896980271875,0.9972138675660105,inf
187,21,inf,-135.88896980271875,0.997198909357997,inf
190,22,inf,-135.88896980271875,0.9971540360801818,inf
191,23,inf,-135.88896980271875,0.9971390787696406,inf
215,24,inf,-135.88896980271875,0.9967801706168098,inf
216,25,inf,-135.88896980271875,0.9967652189142505,inf
240,26,inf,-135.88896980271875,0.9964064453277536,inf
241,27,inf,-135.88896980271875,0.9963914992310736,inf
242,28,inf,-135.88896980271875,0.9963765533585852,inf
266,29,inf,-135.88896980271875,0.9960179196675548,inf
267,30,inf,-135.88896980271875,0.9960029793987598,inf
268,31,inf,-135.88896980271875,0.9959880393540689,inf
271,32,inf,-135.88896980271875,0.9959432205645865,inf
274,33,inf,-135.88896980271875,0.9958984037919195,inf
280,34,inf,-135.88896980271875,0.9958087762966682,inf
304,35,inf,-135.88896980271875,0.9954503469701248,inf
305,36,inf,-135.88896980271875,0.9954354152149203,inf
329,37,inf,-135.88896980271875,0.9950771202751832,inf
330,38,inf,-135.88896980271875,0.9950621941183792,inf
331,39,inf,-135.88896980271875,0.9950472681854674,inf
332,40,inf,-135.88896980271875,0.9950323424764447,inf
356,41,inf,-135.88896980271875,0.9946741926178653,inf
357,42,inf,-135.88896980271875,0.994659272504976,inf
358,43,inf,-135.88896980271875,0.9946443526158885,inf
382,44,inf,-135.88896980271875,0.9942863424095674,inf
383,45,inf,-135.88896980271875,0.9942714281144313,inf
407,46,inf,-135.88896980271875,0.9939135521377748,inf
408,47,inf,-135.88896980271875,0.9938986434344927,inf
409,48,inf,-135.88896980271875,0.9938837349548413,inf
412,49,inf,-135.88896980271875,0.9938390108576365,inf
436,50,inf,-135.88896980271875,0.9934812905243421,inf
437,51,inf,-135.88896980271875,0.9934663883049842,inf
461,52,inf,-135.88896980271875,0.9931088020926716,inf
462,53,inf,-135.88896980271875,0.9930939054606402,inf
463,54,inf,-135.88896980271875,0.9930790090520584,inf
467,55,inf,-135.88896980271875,0.9930194256521586,inf
491,56,inf,-135.88896980271875,0.9926620003186474,inf
492,57,inf,-135.88896980271875,0.9926471103886426,inf
516,58,inf,-135.88896980271875,0.9922898190655085,inf
517,59,inf,-135.88896980271875,0.9922749347182226,inf
518,60,inf,-135.88896980271875,0.9922600505942019,inf
519,61,inf,-135.88896980271875,0.992245166693443,inf
543,62,inf,-135.88896980271875,0.991888020045081,inf
544,63,inf,-135.88896980271875,0.9918731417247804,inf
568,64,inf,-135.88896980271875,0.9915161289823066,inf
569,65,inf,-135.88896980271875,0.9915012562403719,inf
572,66,inf,-135.88896980271875,0.9914566393531011,inf
596,67,inf,-135.88896980271875,0.9910997765256195,inf
597,68,inf,-135.88896980271875,0.9910849100289717,inf
599,69,inf,-135.88896980271875,0.9910551777046649,inf
623,70,inf,-135.88896980271875,0.990698459378449,inf
624,71,inf,-135.88896980271875,0.9906835989015583,inf
625,72,inf,-135.88896980271875,0.9906687386475748,inf
649,73,inf,-135.88896980271875,0.9903121594154237,inf
650,74,inf,-135.88896980271875,0.9902973047330325,inf
651,75,inf,-135.88896980271875,0.9902824502734615,inf
675,76,inf,-135.88896980271875,0.9899260100811398,inf
676,77,inf,-135.88896980271875,0.9899111611909885,inf
700,78,inf,-135.88896980271875,0.9895548546396818,inf
701,79,inf,-135.88896980271875,0.9895400113168623,inf
703,80,inf,-135.88896980271875,0.9895103253391693,inf
727,81,inf,-135.88896980271875,0.9891541630638796,inf
728,82,inf,-135.88896980271875,0.9891393257514337,inf
729,83,inf,-135.88896980271875,0.9891244886615475,inf
733,84,inf,-135.88896980271875,0.9890651425275325,inf
757,85,inf,-135.88896980271875,0.9887091404904126,inf
758,86,inf,-135.88896980271875,0.9886943098533052,inf
759,87,inf,-135.88896980271875,0.9886794794386574,inf
767,88,inf,-135.88896980271875,0.9885608441296186,inf
769,89,inf,-135.88896980271875,0.9885311875267209,inf
793,90,inf,-135.88896980271875,0.9881753776802458,inf
794,91,inf,-135.88896980271875,0.9881605550495806,inf
818,92,inf,-135.88896980271875,0.987804878607784,inf
819,93,inf,-135.88896980271875,0.9877900615346049,inf
